Ticker,Entry Date,Exit Date,Holding Days,Entry,Exit,PnL (£),PnL %,Market,Exit Reason,Was Profitable,Entry Year
APP,2024-10-31,2024-11-28,28,169.64408438873292,328.0671575622559,14016.40762050822,93.68,US,Risk-Off,True,2024
HOOD,2024-10-31,2024-11-28,28,23.525234770774844,37.59352652359009,8975.618922836515,60.04,US,Risk-Off,True,2024
APP,2024-12-31,2025-01-09,9,324.315731552124,328.7062121887207,191.63254182080252,1.51,US,Risk-Off,True,2024
CVNA,2024-12-31,2025-01-09,9,203.6650406112671,196.70450000000002,-796.6350777235122,-3.27,US,Risk-Off,False,2024
HOOD,2024-12-31,2025-01-09,9,37.31588831901551,40.748786371231084,1944.2995614831236,9.36,US,Risk-Off,True,2024
PLTR,2024-12-31,2025-01-09,9,75.7434422492981,68.12765835189819,-2318.56365095057,-9.92,US,Risk-Off,False,2024
VST,2024-12-31,2025-01-09,9,137.32460539245605,159.69407425689698,3796.9970055662666,16.46,US,Risk-Off,True,2024
HOOD,2025-01-31,2025-02-11,11,52.02792576408387,53.25999015235901,584.4830844856866,2.52,US,Stop,True,2025
APP,2025-01-31,2025-02-17,17,370.1443813323975,509.36480987548833,5464.837469440985,37.82,US,Risk-Off,True,2025
CVNA,2025-01-31,2025-02-17,17,247.8512157211304,284.9019915924072,3689.617174643155,15.12,US,Risk-Off,True,2025
PLTR,2025-01-31,2025-02-17,17,82.6137328605652,118.98126365661622,10865.172433531554,44.24,US,Risk-Off,True,2025
VST,2025-01-31,2025-02-17,17,167.36532652282716,166.49653833770753,-99.72879474580336,-0.37,US,Risk-Off,False,2025
CVNA,2025-02-28,2025-03-10,10,233.4496561126709,171.35258560943603,-7627.511506513358,-26.49,US,Stop,False,2025
HOOD,2025-02-28,2025-03-10,10,50.17514847183228,35.576556066513064,-7497.528820416089,-28.99,US,Stop,False,2025
APP,2025-02-28,2025-03-10,10,326.22860021972656,237.72288182830812,-5888.562310240466,-27.02,US,Risk-Off,False,2025
PLTR,2025-02-28,2025-03-10,10,85.04737816619874,76.26542725753785,-2423.157094885044,-10.19,US,Risk-Off,False,2025
TPL,2025-02-28,2025-03-10,10,473.78563331604005,440.8786126861572,-1991.6438231759043,-6.81,US,Risk-Off,False,2025
APP,2025-06-30,2025-07-04,4,350.605106552124,341.12755462646487,-487.16929016296575,-2.56,US,Risk-Off,False,2025
AXON,2025-06-30,2025-07-04,4,829.1819124450684,794.2867604980469,-988.9241176272252,-4.06,US,Risk-Off,False,2025
GEV,2025-06-30,2025-07-04,4,529.1028904418946,515.4452750854492,-606.5721104206762,-2.43,US,Risk-Off,False,2025
HOOD,2025-06-30,2025-07-04,4,93.7704422492981,94.2584015235901,97.6610222640282,0.67,US,Risk-Off,True,2025
PLTR,2025-06-30,2025-07-04,4,136.5244873352051,134.15846060943605,-330.5816824027216,-1.59,US,Risk-Off,False,2025
HOOD,2025-07-31,2025-08-13,13,103.20457805633545,108.45707274246216,927.7090537840523,5.25,US,Stop,True,2025
APP,2025-07-31,2025-08-14,14,391.2860622253418,432.6899863433838,1873.5010248822555,10.75,US,Stop,True,2025
TPR,2025-07-31,2025-08-14,14,107.40837644577027,94.85439949417115,-2582.3087422831395,-11.56,US,Stop,False,2025
PLTR,2025-07-31,2025-08-15,15,158.58753111267092,176.90424317169192,2359.1894526487145,11.72,US,Stop,True,2025
GEV,2025-07-31,2025-08-19,19,660.5185296936036,601.5314060058594,-1973.0459735052264,-8.79,US,Stop,False,2025
APP,2025-09-30,2025-10-10,10,719.6177879943848,569.0351796264649,-4452.631806113927,-20.81,US,Stop,False,2025
FRES.L,2025-09-30,2025-10-17,17,2371.7999999999997,2352.0,-187.17761799397803,-0.83,UK,Stop,False,2025
HOOD,2025-09-30,2025-10-22,22,143.39476266479494,127.02917121887208,-2261.215894763608,-11.28,US,Stop,False,2025
PLTR,2025-09-30,2025-11-04,35,182.69362816619875,190.45389548492432,952.4015020959124,4.4,US,Stop,True,2025
HOOD,2025-10-31,2025-11-13,13,147.00016877746583,121.34770378112793,-3293.046882932042,-17.33,US,Stop,False,2025
SNDK,2025-09-30,2025-11-13,44,112.36829694366456,243.20465231323243,17718.28835016065,116.76,US,Stop,True,2025
FRES.L,2025-10-31,2025-11-18,18,2233.1099999999997,2278.0,379.33780994532333,2.01,UK,Stop,True,2025
AAF.L,2025-10-31,2025-11-19,19,277.96270248413083,295.6000061035156,1197.3808531561347,6.35,UK,Stop,True,2025
SNDK,2025-12-31,2026-01-19,19,237.73607489013673,412.9995651245117,9893.819964599767,73.98,US,Risk-Off,True,2025
STX,2025-12-31,2026-01-19,19,275.8030996704102,325.74066596984864,4222.849261268652,18.28,US,Risk-Off,True,2025
WDC,2025-12-31,2026-01-19,19,172.52840927886965,221.1777295150757,6904.16390082417,28.39,US,Risk-Off,True,2025
